Id,init_name,full_name,affiliation,city,country
1639,DE TOVE Y S S,SAVI DE TOVE YOLANDE SISSINTO,Lab Ctr Lutte Integree Paludisme  01 BP188,Cotonou,Benin
1640,DEBARD R,DEBARD RENEE,,,
1641,DEBRUS B,DEBRUS BENJAMIN,,,
1642,DECHAVANNE C,DECHAVANNE CELIA,Inst Rech Dev  UMR Mere & Enfant Face Infect Trop 216,Paris,France
1643,DECHAVANNE C,DECHAVANNE CELIA,Univ Paris 05  Fac Pharm  PRES Sorbonne Paris Cite,Paris,France
1644,DECHAVANNE C,DECHAVANNE CELIA,,,
1645,DECHAVANNE C,DECHAVANNE CELIA,Univ Paris  Fac Sci Pharmaceut  IRD  UMR 216,F-75252 Paris,France
1646,DECHAVANNE C,DECHAVANNE CELIA,Inst Rech Dev  UMR Mere & Enfant Face Infect Tropicales 216,Paris,France
1647,DECHAVANNE C,DECHAVANNE CELIA,Univ Paris 05  Fac Sci Pharmaceut & Biol  COMUE Sorbonne Paris Cite,Paris,France
1648,DECHAVANNE C,DECHAVANNE CELIA,Case Western Reserve Univ  Global Hlth & Infect Dis,Cleveland,OH 44106 USA
1649,DECHAVANNE C,DECHAVANNE C,Mere Enfant Face Infect Trop  Inst Rech Dev IRD  UMR216,Paris,France
1650,DECHAVANNE C,DECHAVANNE C,Univ Paris 05  Fac Pharm,Paris,France
1651,DECHAVANNE C,DECHAVANNE CELIA,IRD  Mere & Enfant Face Infect Trop UMR216,Paris,France
1652,DECHAVANNE C,DECHAVANNE CELIA,Univ Paris 05  Fac Pharm,Paris,France
1653,DECHAVANNE C,DECHAVANNE CELIA,Inst Dev Res,Paris,France
1654,DECHAVANNE C,DECHAVANNE CELIA,Univ Paris 05  COMUE Sorbonne Paris Cite  Fac Sci Pharmaceut & Biol,Paris,France
1655,DECHAVANNE C,DECHAVANNE CELIA,Univ Abomey Calavi  Fac Sci Sante  Lab Parasitol,Cotonou,Benin
1656,DECHAVANNE C,DECHAVANNE CELIA,IRD  UMR Mere & Enfant Face Infect Trop 216,F-75006 Paris,France
1657,DECHAVANNE C,DECHAVANNE CELIA,Univ Paris 05  Sorbonne Paris Cite  Fac Pharm,F-75006 Paris,France
1658,DECHAVANNE S,DECHAVANNE SEBASTIEN,IRD  UMR 216,F-75270 Paris 06,France
1659,DECHAVANNE S,DECHAVANNE SEBASTIEN,INSERM  UMR 1134,Paris,France
1660,DECHAVANNE S,DECHAVANNE SEBASTIEN,Univ Paris Diderot  Sorbonne Paris Cite  UMR S1134,Paris,France
1661,DECHAVANNE S,DECHAVANNE SEBASTIEN,Inst Natl Transfus Sanguine,F-75015 Paris,France
1662,DECHAVANNE S,DECHAVANNE SEBASTIEN,Lab Excellence GR Ex,Paris,France
1663,DEFO B K,DEFO BARTHELEMY KUATE,,,
1664,DEFO B K,DEFO BARTHELEMY KUATE,Univ Montreal  Montreal,PQ,Canada
1665,DEGENHARDT L,DEGENHARDT LOUISA,,,
1666,DEGENHARDT L,DEGENHARDT LOUISA,Univ New S Wales  Sydney,NSW,Australia
1667,DEGNONVI H,DEGNONVI HORACE,,,
1668,DEGNONVI H,DEGNONVI HORACE,Ctr Rech Entomol Cotonou,Cotonou,Benin
1669,DEL POZOCRUZ B,DEL POZOCRUZ BORJA,,,
1670,DELATTE H,DELATTE H,,,
1671,DELATTE H,DELATTE H,CIRAD 3P  UMR Pbvmt  CIRAD  F-97410 St Pierre,La Reunion,France
1672,DELATTE H,DELATTE H,CIRAD 3P  UR016  IRD  F-97410 St Pierre,La Reunion,France
1673,DELORON P,DELORON PHILIPPE,,,
1674,DELORON P,DELORON PHILIPPE,IRD  Mother & Child Hlth Trop Res Unit,F-75005 Paris,France
1675,DELORON P,DELORON PHILIPPE,Inst Rech Dev  Mere & Enfant Face Infect Trop UMR216,Paris,France
1676,DELORON P,DELORON PHILIPPE,Univ Paris 05  PRES Sorbonne Paris Cite,Paris,France
1677,DELORON P,DELORON PHILIPPE,Inst Rech Dev  Mere & Enfant Face Infect Trop UMR216  Fac Sci Biol & Pharmaceut,F-75006 Paris,France
1678,DELORON P,DELORON PHILIPPE,Univ Paris 05  PRES Sorbonne Paris Cite  Fac Pharm,F-75270 Paris,France
1679,DELORON P,DELORON PHILIPPE,Inst Rech Dev Mother & Child Hlth  Trop Res Unit  UMR216,Paris,France
1680,DELORON P,DELORON PHILIPPE,IRD  UMR216,F-75006 Paris,France
1681,DELORON P,DELORON PHILIPPE,Univ Paris 05  Fac Pharm,Paris,France
1682,DELORON P,DELORON PHILIPPE,Inst Rech Dev  UMR 216  Mere & Enfant Face Infect Trop,Paris,France
1683,DELORON P,DELORON PHILIPPE,Univ Paris 05  Fac Pharm  PRES Sorbonne Paris Cite,Paris,France
1684,DELORON P,DELORON PHILIPPE,Mother & Child Faced Trop Infect Res Unit  Inst Rech Dev,Paris,France
1685,DELORON P,DELORON PHILIPPE,Univ Paris 05  PRES Paris Sorbonne Cite,Paris,France
1686,DELORON P,DELORON P,Univ Abomey Calavi  Fac Sci & Tech,Cotonou,Benin
1687,DELORON P,DELORON P,IRD UMR216,Paris,France
1688,DELORON P,DELORON P,Univ Bologna  Dept Hematol & Oncol,I-40126 Bologna,Italy
1689,DELORON P,DELORON P,Stockholm Univ Stockholm  Wenner Gren Inst  Dept Immunol,Stockholm,Sweden
1690,DELORON P,DELORON P,Radboud Univ Nijmegen  Med Ctr  Dept Med Microbiol,NL-6525 ED Nijmegen,Netherlands
1691,DELORON P,DELORON P,Univ Paris 05  Fac Pharm,Paris,France
1692,DELORON P,DELORON PHILIPPE,UMR Mere & Enfant Face Infect Trop 216,Paris,France
1693,DELORON P,DELORON PHILIPPE,Inst Rech Dev,Paris,France
1694,DELORON P,DELORON PHILIPPE,Univ Paris 05  Fac Pharm,Sorbonne Paris Cite,France
1695,DELORON P,DELORON PHILIPPE,Inst Rech Dev  IRD UMR 216,Paris,France
1696,DELORON P,DELORON PHILIPPE,Univ Paris 05,Paris,France
1697,DELORON P,DELORON PHILIPPE,IRD  UMR 216,Paris,France
1698,DELORON P,DELORON PHILIPPE,Inst Rech Dev  UMR 216,Paris,France
1699,DELORON P,DELORON PHILIPPE,Univ Paris 05  Fac Pharm  Sorbonne Paris Cite  PRES,Paris,France
1700,DELORON P,DELORON P,,,
1701,DELORON P,DELORON P,UMR Mere & Enfant Face Infect Trop 216,Paris,France
1702,DELORON P,DELORON PHILIPPE,UMR216 Mere & Enfant Face Infect Trop  Inst Rech Dev,Paris,France
1703,DELORON P,DELORON PHILIPPE,Fac Pharmaceut Sci  IRD UMR Mere & Enfant Face Infect Trop 216,F-75270 Paris 06,France
1704,DELORON P,DELORON PHILIPPE,Univ Paris 05  Fac Pharmaceut Sci,F-75270 Paris 06,France
1705,DELORON P,DELORON PHILIPPE,Univ Paris 05  IRD  Fac Pharm UR010  Mother & Child Hlth Trop Res Unit Lab Parasitol,F-75005 Paris,France
1706,DELORON P,DELORON P,Stockholm Univ  Wenner Gren Inst  Dept Immunol,S-10691 Stockholm,Sweden
1707,DELORON P,DELORON P,Res Inst Dev IRD,Paris,France
1708,DELORON P,DELORON P,Univ Paris 05,Paris,France
1709,DELORON P,DELORON PHILIPPE,Inst Rech Pour Dev IRD  UMR 216  Mother & Child Face Trop Infect Res Unit,Paris,France
1710,DELORON P,DELORON PHILIPPE,Univ Paris 05  Fac Pharm,F-75006 Paris,France
1711,DELORON P,DELORON P,IRD  UMR216,Paris,France
1712,DELORON P,DELORON PHILIPPE,Univ Paris 05  IFR 71  IRD  UR010,F-75006 Paris,France
1713,DELORON P,DELORON PHILIPPE,Univ Paris 05  PRES Sorbonne Paris Cite,F-75270 Paris 06,France
1714,DELORON P,DELORON PHILIPPE,Inst Rech Dev  Mother & Child Faced Trop Infect Res Unit  UMR216,Paris,France
1715,DELORON P,DELORON PHILIPPE,Inst Rech Dev Mere & Enfant Face Infect,Paris,France
1716,DELORON P,DELORON P,IRD  UR010,Paris,France
1717,DELORON P,DELORON PHILIPPE,IRD  UMR Mere & Enfant Face Infect Trop 216,F-75006 Paris,France
1718,DELORON P,DELORON PHILIPPE,Univ Paris 05  Fac Pharm,F-75270 Paris,France
1719,DELORON P,DELORON PHILIPPE,IRD  Mere & Enfant Face Infect Tropicales UMR216,Paris,France
1720,DELORON P,DELORON PHILIPPE,Univ Abomey Calavi  Ctr Etud & Rech Paludisme Assoc Grossesse & Enfan,Cotonou,Benin
1721,DELORON P,DELORON PHILIPPE,Inst Rech Dev  UMR 216  Mother & Child Face Trop Infect Res Unit,Paris,France
1722,DELORON P,DELORON PHILIPPE,Paris Descartes Univ  PRES Paris Sorbonne Cite,Paris,France
1723,DELORON P,DELORON PHILIPPE,IRD,Paris,France
1724,DELORON P,DELORON PHILIPPE,Inst Rech Dev,F-75006 Paris,France
1725,DELORON P,DELORON PHILIPPE,Pole Rech & Enseignement Super  Sorbonne Paris Cite,Paris,France
1726,DELORON P,DELORON PHILIPPE,Univ Paris 05  COMUE Sorbonne Paris Cite  Inst Rech Dev  Mere & Enfant Face Infect Trop UMR216,Paris,France
1727,DELORON P,DELORON PHILIPPE,Univ Paris 05  COMUE Sorbonne Paris Cite  Fac Pharm,Paris,France
1728,DELORON P,DELORON PHILIPPE,Inst Rech Dev  MERIT UMR Mere & Enfant Face Infect Trop D216,Paris,France
1729,DELORON P,DELORON PHILIPPE,Inst Rech Dev  MERIT UMR216,F-75270 Paris,France
1730,DELORON P,DELORON PHILIPPE,Inst Rech Dev  Fac Pharm  UMR216,F-75270 Paris 06,France
1731,DELORON P,DELORON PHILIPPE,IRD  Mother & Child Hlth Trop Res Unit,Paris,France
1732,DELORON P,DELORON PHILIPPE,Univ Paris 05  Sorbonne Paris Cite  PRES,Paris,France
1733,DELORON P,DELORON PHILIPPE,Lab Excellence GR Ex,Paris,France
1734,DELORON P,DELORON PHILIPPE,Fac Pharm  Sorbonne Paris Cite  PRES,Paris,France
1735,DELORON P,DELORON P,CERPAGE  Fac Sci Sante,Cotonou,Benin
1736,DELORON P,DELORON P,Inst Rech Dev  Mother & Child Hlth Trop Res Unit,Paris,France
1737,DELORON P,DELORON P,Univ Paris 05  Sorbonne Paris Cite  PRES,Paris,France
1738,DELORON P,DELORON PHILIPPE,Inst Rech Dev  UMR216,Paris,France
1739,DELORON P,DELORON PHILIPPE,Univ Paris 05  Dept Parasitol,Paris,France
1740,DELORON P,DELORON PHILIPPE,Inst Rech Dev  UMR Mere & Enfant Face Infect Trop 216,Paris,France
1741,DELORON P,DELORON PHILIPPE,Univ Paris 05  COMUE Sorbonne Paris Cite  Fac Sci Pharmaceut & Biol,Paris,France
1742,DELORON P,DELORON PHILIPPE,IRD  UMR Mere & Enfant Face Infect Trop 216,F-75270 Paris,France
1743,DELORON P,DELORON PHILIPPE,MERIT UMR D216 Mere & Enfant Face Infect Trop  Inst Rech Dev,Paris,France
1744,DELORON P,DELORON PHILIPPE,Univ Paris 05  Fac Pharm  COMUE Sorbonne Paris Cite,Paris,France
1745,DELORON P,DELORON PHILIPPE,Univ Paris 05  Mere & Enfant Face Infect Trop UMR216  Inst Rech Dev,Paris,France
1746,DELORON P,DELORON PHILIPPE,IRD  UMR216  MERIT,F-75006 Paris,France
1747,DELORON P,DELORON PHILIPPE,IRD  Mere & Enfant Face Infect Trop UMR216  Fac Pharm,F-75270 Paris 06,France
1748,DELORON P,DELORON PHILIPPE,Univ Paris 05,F-75006 Paris,France
1749,DELORON P,DELORON PHILIPPE,Inst Rech Dev  UMR216,F-75006 Paris,France
1750,DELORON P,DELORON PHILIPPE,Univ Paris 05  PRES Sorbonne Paris Cite  Fac Pharm,Paris,France
1751,DELORON P,DELORON PHILIPPE,IRD  MERIT  UMR216,Paris,France
1752,DELORON P,DELORON PHILIPPE,Paris Descartes Univ  Fac Pharm Paris  COMUE Sorbonne Paris Cite,F-75006 Paris,France
1753,DELORON P,DELORON PHILIPPE,Univ Paris 05  Inst Rech Dev  PRES Sorbonne Paris Cite  UMR Mere & Enfant Face Infect Trop 216,Paris,France
1754,DELORON P,DELORON PHILIPPE,IRD  Mother & Child Faced Trop Infect Unit  UMR216,F-75006 Paris,France
1755,DELORON P,DELORON PHILIPPE,IRD Unite Mixte Rech 216,Paris,France
1756,DELORON P,DELORON PHILIPPE,Fac Pharm  PRES Sorbonne Paris Cite,Paris,France
1757,DEME A B,DEME AWA BINETA,,,
1758,DEME A B,DEME AWA BINETA,Aristide Dantec Hosp  Lab Parasitol Mycol  BP 16477,Dakar,Senegal
1759,DEMETTRE E,DEMETTRE EDITH,,,
1760,DEMETTRE E,DEMETTRE EDITH,Univ Montpellier I & II  IGF  CNRS UMR 5203  INSERM U661,Montpellier,France
1761,DEMETTRE E,DEMETTRE EDITH,Plateforme Protem Fonct CNRS,Montpellier,France
1762,DEMETTRE E,DEMETTRE EDITH,UM1  UM2  INSERM 661  IGF UMR CNRS 5203,Montpellier,France
1763,DEMING M S,DEMING MS,,,
1764,DEMING M S,DEMING MICHAEL S,Ctr Dis Control & Prevent  Div Parasit Dis,Atlanta,GA 30341 USA
1765,DEMOL P,DEMOL PATRICK,,,
1766,DEMOL P,DEMOL PATRICK,Univ Liege  CIRM  Lab Microbiol Med,B-4000 Liege,Belgium
1767,DENEOUD L,DENEOUD LISE,,,
1768,DENEOUD L,DENEOUD LISE,Inst Rech Dev,Cotonou,Benin
1769,DENOEUD L,DENOEUD LISE,Fac Pharm  Inst Dev Res,F-75270 Paris,France
1770,DENOEUD L,DENOEUD LISE,,,
1771,DENOEUDNDAM L,DENOEUDNDAM L,,,
1772,DENOEUDNDAM L,DENOEUDNDAM LISE,,,
1773,DENON E Y,DENON ERIC Y,Natl Malaria Control Program,Cotonou,Benin
1774,DENON E Y,DENON ERIC Y,Minist Hlth,Cotonou,Benin
1775,DERIBE K,DERIBE KEBEDE,,,
1776,DERIBE K,DERIBE KEBEDE,Univ Addis Ababa,Addis Ababa,Ethiopia
1777,DERY G,DERY GILBERT,,,
1778,DERY G,DERY GILBERT,DERMED Consult LLC,Tamale,Ghana
1779,DES JARLAIS D C,DES JARLAIS DON C,,,
1780,DES JARLAIS D C,DES JARLAIS DON C,Beth Israel Deaconess Med Ctr,New York,NY 10003 USA
1781,DESAI M,DESAI MEGHNA,,,
1782,DESAI M,DESAI MEGHNA,Ctr Dis Control & Prevent  Div Parasit Dis & Malaria  Malaria Branch,Atlanta,GA USA
1783,DESAI M,DESAI MEGHNA,Ctr Dis Control & Prevent  Div Parasit Dis & Malaria,Atlanta,GA USA
1784,DESAI M,DESAI MEGHNA,Ctr Dis Control & Prevent  Div Parasit Dis & Malaria  Ctr Global Hlth,Atlanta,GA USA
1785,DESAI M,DESAI MEGHNA,Ctr Dis Control & Prevent  Div Parasit Dis & Malaria  Ctr Global Hlth,Kisumu,Kenya
1786,DESSALEGN M,DESSALEGN MULUKEN,,,
1787,DESSALEGN M,DESSALEGN MULUKEN,Africa Med & Res Fdn Ethiopia,Addis Ababa,Ethiopia
1788,DEVAUX I,DEVAUX I,,,
1789,DEVLEESSCHAUWER B,DEVLEESSCHAUWER B,Catholic Univ Louvain  IRSS,B-1200 Brussels,Belgium
1790,DEVLEESSCHAUWER B,DEVLEESSCHAUWER B,Univ Ghent  Fac Vet Med  Dept Virol Parasitol & Immunol,Merelbeke,Belgium
1791,DHARMARATNE S D,DHARMARATNE SAMATH D,,,
1792,DHARMARATNE S D,DHARMARATNE SAMATH D,Univ Peradeniya,Peradeniya,Sri Lanka
1793,DHERMY D,DHERMY D,,,
1794,DIA I,DIA IBRAHIMA,,,
1795,DIA I,DIA IBRAHIMA,Inst Pasteur,Dakar,Senegal
1796,DIABATE A,DIABATE ABDOULAYE,,,
1797,DIABATE A,DIABATE ABDOULAYE,Inst Rech Sci Sante  Ctr Muraz,Bobo Dioulasso,Burkina Faso
1798,DIABATE A,DIABATE ABDOULAYE,Ctr Muraz  Inst Rech Sci Sante,Bobo Dioulasso,Burkina Faso
1799,DIABATE A,DIABATE A,IRSS  Bobo Dioulasso,West Africa,Burkina Faso
1800,DIABATE A,DIABATE A,,,
1801,DIALLO A,DIALLO ABDOULAYE,,,
1802,DIALLO A,DIALLO ABDOULAYE,Fac Pharmaceut Sci  UMR 216 Mere & Enfant Face Infect Tropicales  Inst Rech Dev,Paris,France
1803,DIALLO D A,DIALLO DA,,,
1804,DIAP G,DIAP GRACIELA,,,
1805,DIAP G,DIAP GRACIELA,Drugs Neglected Dis initiat,Geneva,Switzerland
1806,DIAWARA B,DIAWARA B,,,
1807,DIAWARA B,DIAWARA B,Ctr Natl Rech Sci & Technol  Inst Rech Sci Appl & Technol  Dept Technol Alimentaire,Ouagadougou,Burkina Faso
1808,DIAWARA H Z,DIAWARA HERMINE ZIME,,,
1809,DIAWARA H Z,DIAWARA HERMINE ZIME,Univ Abomey Calavi  FSS  Lab Pharmacognosie & Huiles Essentielles LAPHE,Cotonou 188,Benin
1810,DIAWARA H Z,DIAWARA HERMINE ZIME,Catholic Univ Louvain  Louvain Drug Res Inst  Lab Pharmacognosie,B-1200 Brussels,Belgium
1811,DIAWARA H Z,DIAWARA HERMINE ZIME,Univ Liege  Lab Pharm Galen & Technol Pharmaceut  Dept Pharm  CHU CIRM,B-4000 Liege,Belgium
1812,DICKER D,DICKER DANIEL,Univ Washington  Inst Hlth Metr & Evaluat,Seattle,WA 98195 USA
1813,DICKO A,DICKO ALASSANE,,,
1814,DICKO A,DICKO ALASSANE,Univ Bamako  Fac Med Pharm & Dent  Malaria Res & Training Ctr,Bamako,Mali
1815,DICKO A,DICKO ALASSANE,Univ Bamako  Fac Med Pharm & Dent  Dept Publ Hlth,Bamako,Mali
1816,DICKO A,DICKO ALASSANE,Univ Bamako  Fac Med Pharm & Dent  Dept Epidemiol Parasit Dis  Malaria Res & Training Ctr,Bamako,Mali
1817,DILMEN U,DILMEN UGUR,,,
1818,DILMEN U,DILMEN UGUR,Minist Hlth,Ankara,Turkey
1819,DIMBUENE Z T,DIMBUENE ZACHARIE TSALA,,,
1820,DIMBUENE Z T,DIMBUENE ZACHARIE TSALA,Univ Kinshasa  Fac Econ & Management  Dept Populat Sci & Dev,Kinshasa,Congo
1821,DIMI D,DIMI D,,,
1822,DINBELL C,DINBELL CHANTAL,,,
1823,DING E L,DING ERIC L,,,
1824,DING E L,DING ERIC L,Harvard Univ  Harvard Sch Publ Hlth,Cambridge,MA 02138 USA
1825,DIOP M M,DIOP MALAL M,IRD  UM1 UM2 CNRS 5290 IRD 224  MiVEGEC,Cotonou,Benin
1826,DIOP M M,DIOP MALAL M,Ctr Rech Entomol Cotonou,Cotonou,Benin
1827,DITLEV S B,DITLEV SISSE B,Univ Copenhagen  Ctr Med Parasitol  Dept Immunol & Microbiol  Fac Hlth & Med Sci,Copenhagen,Denmark
1828,DITLEV S B,DITLEV SISSE B,Rigshosp  Dept Infect Dis  Copenhagen Univ Hosp,DK-2100 Copenhagen,Denmark
1829,DIVE G,DIVE GEORGES,,,
1830,DIVE G,DIVE GEORGES,Univ Liege  Ctr Prot Engn  Dept Chem,B-4000 Liege,Belgium
1831,DJEGBE I,DJEGBE INNOCENT,Univ Parakou  Ecole Normale Super Natitingou,Parakou,Benin
1832,DJEGBE I,DJEGBE INNOCENT,CREC  IRD  CNRS IRD UM1 5290 224,Cotonou,Benin
1833,DJEGBE I,DJEGBE INNOCENT,,,
1834,DJEGBE I,DJEGBE INNOCENT,Univ dAbomey Calavi  Ctr Rech Entomol Cotonou,Cotonou,Benin
1835,DJEGBE I,DJEGBE INNOCENT,UM1  UM2  CNRS  IRD 224 IRD MIVEGEC UMR 5290,Montpellier,France
1836,DJEGBE I,DJEGBE INNOCENT,CREC,Cotonou,Benin
1837,DJEGBE I,DJEGBE INNOCENT,Ctr Rech Entomol Cotonou,Cotonou,Benin
1838,DJEGBE I,DJEGBE INNOCENT,Int Inst Trop Agr,Calavi,Benin
1839,DJEGBE I,DJEGBE INNOCENT,IRD  CNRS IRD 224 UM1 5290  IRD,Cotonou,Benin
1840,DJEGBE I,DJEGBE INNOCENT,Inst Rech Dev  MIVEGEC  IRD 224  CNRS 5290 UM1 UM2,Cotonou,Benin
1841,DJEGBE I,DJEGBE INNOCENT,Minist Sante  Ctre Rech Entomol Cotonou,Cotonou,Benin
1842,DJEGBE I,DJEGBE INNOCENT,Univ Sci Arts & Tech Natitingou  Ecole Normale Super Natitingou  Natitingou BP 123,Natitingou,Benin
1843,DJEGBE I,DJEGBE INNOCENT,Ctr Rech Entomol Cotonou  Inst Rech Dev  MIVEGEC  UMR CNRS 224 5290 UM1 UM2,Cotonou,Benin
1844,DJEGBE I,DJEGBE INNOCENT,UM1  UM2  CREC  IRD CNRS 5290 MIVEGEC UMR IRD 224,Cotonou,Benin
1845,DJENONTIN A,DJENONTIN ARMEL,Univ Abomey Calavi  Fac Sci & Tech,Cotonou,Benin
1846,DJENONTIN A,DJENONTIN ARMEL,IRD  MIVEGEC  UM CNRS IRD 224 5290,Cotonou,Benin
1847,DJENONTIN A,DJENONTIN ARMEL,CREC,Cotonou,Benin
1848,DJENONTIN A,DJENONTIN ARMEL,IRD  CNRS 5290  IRD 224  MIVEGEC UM1 UM2,Cotonou,Benin
1849,DJENONTIN A,DJENONTIN ARMEL,CREC  Minist Sante,Montpellier,France
1850,DJENONTIN A,DJENONTIN ARMEL,Univ dAbomey Calavi  Fac Sci & Tech,Montpellier,France
1851,DJENONTIN A,DJENONTIN ARMEL,CREC  IRD  Unite Rech 016,Cotonou,Benin
1852,DJENONTIN A,DJENONTIN ARMEL,IRD CREC Cotonou,Cotonou,Benin
1853,DJENONTIN A,DJENONTIN ARMEL,Univ Abomey Calavi,Cotonou,Benin
1854,DJENONTIN A,DJENONTIN ARMEL,,,
1855,DJENONTIN A,DJENONTIN ARMEL,Inst Rech Dev,Cotonou,Benin
1856,DJENONTIN A,DJENONTIN ARMEL,IRD  MIVEGEC IRD CNRS UM1 224 5290,Cotonou,Benin
1857,DJENONTIN A,DJENONTIN ARMEL,Minist Sante  CREC,Cotonou,Benin
1858,DJENONTIN A,DJENONTIN ARMEL,IRD 224 CNRS 5290 UM1 UM2  MIVEGEC  Inst Rech Dev,Cotonou,Benin
1859,DJENONTIN A,DJENONTIN ARMEL,Ctr Rech Entomol Cotonou  Minist Sante,Cotonou,Benin
1860,DJENONTIN A,DJENONTIN ARMEL,IRD  MIVEGEC IRD CNRS 5290 UM1 UM2 224,Cotonou,Benin
1861,DJENONTIN A,DJENONTIN ARMEL,IRD  UR016,Cotonou,Benin
1862,DJENONTIN A,DJENONTIN ARMEL,Univ Montpellier I  IRD224  CNRS5290  UMR MIVEGEC IRD CREC,Cotonou,Benin
1863,DJENONTIN A,DJENONTIN ARMEL,Univ Montpellier 2  IRD224  CNRS5290  UMR MIVEGEC IRD CREC,Cotonou,Benin
1864,DJENONTIN A,DJENONTIN ARMEL,Univ Abomey Calavi  Fac Sci & Tech  Lab Evolut Biodiversite Arthropodes & Assainissem,Abomey Calavi,Benin
1865,DJENONTIN A,DJENONTIN ARMEL,CNRS  UM1 UM2 5290  IRD 224  Inst Rech Dev Malad Infect & Vecteurs,Cotonou,Benin
1866,DJENONTIN A,DJENONTIN ARMEL,Ctr Rech Entomol Cotonou,Cotonou,Benin
1867,DJENONTIN A,DJENONTIN ARMEL,Univ Abomey Calavi  Ctr Rech Entomol Cotonou  Fac Sci & Tech MIVEGEC IRD CNRS UM1 UM2 224 5290,Cotonou,Benin
1868,DJENONTIN A,DJENONTIN ARMEL,CREC  IRD  UR016,Cotonou,Benin
1869,DJENONTIN A,DJENONTIN ARMEL,MIVEGEC IRD 224 CNRS 5290 UM1 UM2  Inst Rech Dev,Cotonou,Benin
1870,DJENONTIN A,DJENONTIN ARMEL,Minist Sante  Ctr Rech Entomol Cotonou,Cotonou,Benin
1871,DJENONTIN A,DJENONTIN ARMEL,Inst Rech Dev  MIVEGEC  IRD 224  CNRS 5290 UM1 UM2,Cotonou,Benin
1872,DJENONTIN A,DJENONTIN ARMEL,Minist Sante  Ctre Rech Entomol Cotonou,Cotonou,Benin
1873,DJENONTIN A,DJENONTIN ARMEL,Univ Montpellier I  CNRS 5290  UMR IRD 224  Inst Rech Dev,Cotonou,Benin
1874,DJENONTIN A,DJENONTIN ARMEL,Univ Montpellier 2,Cotonou,Benin
1875,DJENONTIN A,DJENONTIN ARMEL,Minist Sante Publ  Ctr Rech Entomol Cotonou,Cotonou,Benin
1876,DJENONTIN A,DJENONTIN ARMEL,Inst Rech Dev IRD UR016,Cotonou,Benin
1877,DJENONTIN A,DJENONTIN ARMEL,Univ Montpellier I  IRD 224  CNRS 5290  MIVEGEC,Montpellier,France
1878,DJENONTIN A,DJENONTIN ARMEL,Univ Montpellier 2,Montpellier,France
1879,DJENONTIN A,DJENONTIN ARMEL,Univ Abomey Calavi  Fac Sci & Technol,Abomey Calavi,Benin
1880,DJERIOU E,DJERIOU ELHADJ,,,
1881,DJERIOU E,DJERIOU ELHADJ,Sanofi Res & Dev,Chilly Mazarin,France
1882,DJIKPOTCHIBOZO M A,DJIKPOTCHIBOZO MICHELINE AGASSOUNON,,,
1883,DJILALISAIAH A,DJILALISAIAH ABDELKADER,,,
1884,DJIMDE A,DJIMDE ABDOULAYE,,,
1885,DJIMDE A,DJIMDE ABDOULAYE,Univ Bamako  Fac Med Pharm & Odontostomatol  Dept Epidemiol Parasit Dis  Malaria Res & Training Ctr,Bamako,Mali
1886,DJIMDE A,DJIMDE A,,,
1887,DJIMDE A,DJIMDE A,Univ Bamako  Fac Med Pharm & Odontostomatol,Bamako,Mali
1888,DJIMDE A A,DJIMDE ABDOULAYE A,,,
1889,DJIMDE A A,DJIMDE ABDOULAYE A,Univ Bamako  Fac Med Pharm & Dent  Malaria Res & Training Ctr,Bamako,Mali
1890,DJIMDE A A,DJIMDE ABDOULAYE A,Univ Bamako  Malaria Res & Training Ctr  Dept Epidemiol Parasit Dis  Fac Med Pharm & Odontostomatol,Bamako,Mali
1891,DJIMDE A A,DJIMDE ABDOULAYE A,Univ Bamako  Fac Med Pharm & Odontostomatol  Dept Epidemiol Parasit Dis  Malaria Res & Training Ctr,Bamako,Mali
1892,DJIMDE A A,DJIMDE A A,,,
1893,DJIMDE A A,DJIMDE A A,Univ Bamako  Fac Med Pharm & Odontostomatol  Dept Epidemiol Parasit Dis  Malaria Res & Training Ctr,Bamako,Mali
1894,DJOGBENOU L,DJOGBENOU LUC,Univ Abomey Calavi  Inst Reg Sante Publ,Cotonou,Benin
1895,DJOGBENOU L,DJOGBENOU L,,,
1896,DJOGBENOU L,DJOGBENOU LUC,CREC  IRD,Cotonou,Benin
1897,DJOGBENOU L,DJOGBENOU LUC,Univ Liverpool Liverpool Sch Trop Med  Vector Biol Dept  Liverpool,Merseyside,England
1898,DJOGBENOU L,DJOGBENOU LUC,Univ Abomey Calavi  Inst Reg Sante Publ,Ouidah,Benin
1899,DJOGBENOU L,DJOGBENOU LUC,Univ Liverpool  Liverpool Sch Trop Med  Vector Biol Dept  Liverpool L3 5QA,Merseyside,England
1900,DJOGBENOU L,DJOGBENOU L,Univ Abomey Calavi  Inst Reg Sante Publ  Ctr Rech Entomol Cotonou,Cotonou 918,Benin
1901,DJOGBENOU L,DJOGBENOU L,Inst Rech Dev  Lab Lutte Insectes Nusible,Montpellier,France
1902,DJOGBENOU L,DJOGBENOU LUC,,,
1903,DJOGBENOU L,DJOGBENOU LUC,Univ Dabomey Calavi  Inst Reg Sante Publ Ouidah,Cotonou,Benin
1904,DJOGBENOU L,DJOGBENOU LUC,Ctr Rech Entomol Cotonou,Cotonou,Benin
1905,DJOGBENOU L,DJOGBENOU LUC,Inst Rech Dev  Lab Lutte Contre Insectes Nuisibles,F-34394 Montpellier,France
