Id,init_name,last_name,first_name,affiliation,city,country
1653,TOSSA J,TOSSA,JOEL,,,
1654,TOSSA J,TOSSA,JOEL,Univ Abomey Calavi  Inst Math & Sci Phys  01 BP 613,Porto Novo,Benin
1655,GNIDEHOU S,GNIDEHOU,SEDAMI,Inst Rech Dev  IRD UMR 216,Paris,France
1656,GNIDEHOU S,GNIDEHOU,SEDAMI,Univ Paris 05,Paris,France
1657,JESSEN L,JESSEN,LEON,,,
1658,JESSEN L,JESSEN,LEON,Tech Univ Denmark  Ctr Biol Sequence Anal  Dept Syst Biol,DK-2800 Lyngby,Denmark
1659,GANGNARD S,GANGNARD,STEPHANE,,,
1660,GANGNARD S,GANGNARD,STEPHANE,Inst Pasteur  CNRS  URA2185  Unite Immunol Struct,Paris,France
1661,ERMONT C,ERMONT,CAROLINE,Inst Rech Dev  IRD UMR 216,Paris,France
1662,ERMONT C,ERMONT,CAROLINE,Univ Paris 05,Paris,France
1663,TRIQUI C,TRIQUI,CHOUKRI,Inst Rech Dev  IRD UMR 216,Paris,France
1664,TRIQUI C,TRIQUI,CHOUKRI,Univ Paris 05,Paris,France
1665,QUIVIGER M,QUIVIGER,MICKAEL,Inst Rech Dev  IRD UMR 216,Paris,France
1666,QUIVIGER M,QUIVIGER,MICKAEL,Univ Paris 05,Paris,France
1667,GUITARD J,GUITARD,JULIETTE,Inst Rech Dev  IRD UMR 216,Paris,France
1668,GUITARD J,GUITARD,JULIETTE,Univ Paris 05,Paris,France
1669,LUND O,LUND,OLE,,,
1670,LUND O,LUND,OLE,Tech Univ Denmark  Ctr Biol Sequence Anal  Dept Syst Biol,DK-2800 Lyngby,Denmark
1671,DELORON P,DELORON,PHILIPPE,Inst Rech Dev  IRD UMR 216,Paris,France
1672,DELORON P,DELORON,PHILIPPE,Univ Paris 05,Paris,France
1673,NDAM N T,NDAM,NICAISE TUIKUE,Inst Rech Dev  IRD UMR 216,Paris,France
1674,NDAM N T,NDAM,NICAISE TUIKUE,Inst Sci Biomed & Appl,Cotonou,Benin
1675,WANG S J,WANG,SJ,,,
1676,LENGELER C,LENGELER,C,,,
1677,SMITH T A,SMITH,TA,,,
1678,VOUNATSOU P,VOUNATSOU,P,,,
1679,CISSE G,CISSE,G,,,
1680,DIALLO D A,DIALLO,DA,,,
1681,MTASIWA D,MTASIWA,D,,,
1682,TEKLEHAIMANOT A,TEKLEHAIMANOT,A,,,
1683,TANNER M,TANNER,M,,,
1684,AKOGBETO M C,AKOGBETO,MARTIN C,CREC,Cotonou,Benin
1685,PADONOU G G,PADONOU,GIL GERMAIN,CREC,Cotonou,Benin
1686,GBENOU D,GBENOU,DINA,,,
1687,GBENOU D,GBENOU,DINA,World Hlth Org Off,Cotonou,Benin
1688,IRISH S,IRISH,SETH,,,
1689,IRISH S,IRISH,SETH,London Sch Hyg & Trop Med,London WC1E 7HT,England
1690,YADOULETON A,YADOULETON,ANGES,CREC,Cotonou,Benin
1691,OUEDRAOGO S,OUEDRAOGO,SMAILA,Fac Sci Sante  Unites Mixtes Rech 216  Inst Rech De,F-75270 Paris,France
1692,KOURA G K,KOURA,GHISLAIN K,Fac Sci Sante  Unites Mixtes Rech 216  Inst Rech De,F-75270 Paris,France
1693,ACCROMBESSI M M K,ACCROMBESSI,MANFRED M K,,,
1694,ACCROMBESSI M M K,ACCROMBESSI,MANFRED M K,Cotonou Lab Microbiol  Fac Sci Sante,Cotonou,Benin
1695,MASSOUGBODJI A,MASSOUGBODJI,ACHILLE,Cotonou Lab Microbiol  Fac Sci Sante,Cotonou,Benin
1696,COT M,COT,MICHEL,Fac Sci Sante  Unites Mixtes Rech 216  Inst Rech De,F-75270 Paris,France
1697,KINDEGAZARD D,KINDEGAZARD,D,,,
1698,SAMEEKOBO A,SAMEEKOBO,A,,,
1699,CAMBON N,CAMBON,N,,,
1700,MUELLER E A,MUELLER,EA,,,
1701,IRISH S R,IRISH,S R,Univ London London Sch Hyg & Trop Med,London WC1E 7HT,England
1702,IRISH S R,IRISH,S R,Ctr Rech Entomol Cotonou,Cotonou,Benin
1703,GUESSAN R N,GUESSAN,R N,,,
1704,BOKO P M,BOKO,P M,,,
1705,BOKO P M,BOKO,P M,Ctr Rech Entomol Cotonou,Cotonou,Benin
1706,METONNOU C,METONNOU,C,,,
1707,METONNOU C,METONNOU,C,Ctr Rech Entomol Cotonou,Cotonou,Benin
1708,ODJO A,ODJO,A,Ctr Rech Entomol Cotonou,Cotonou,Benin
1709,AKOGBETO M,AKOGBETO,M,Ctr Rech Entomol Cotonou,Cotonou,Benin
1710,ROWLAND M,ROWLAND,M,Univ London London Sch Hyg & Trop Med,London WC1E 7HT,England
1711,CISSE M B,CISSE,MOUSSA B,CREC,Cotonou,Benin
1712,BALDET T,BALDET,THIERRY,CREC,Cotonou,Benin
1713,CHANDRE F,CHANDRE,FABRICE,IRD,Cotonou,Benin
1714,CHABBI J,CHABBI,JOSEPH,CREC,Cotonou,Benin
1715,HUGARD J M,HUGARD,JEAN M,,,
1716,HUGARD J M,HUGARD,JEAN M,IRD,Cotonou,Benin
1717,KOITA O A,KOITA,OUSMANE A,,,
1718,KOITA O A,KOITA,OUSMANE A,FAST  Lab Biol Mol Appl,Bamako,Mali
1719,KROGSTAD D J,KROGSTAD,DONALD J,,,
1720,KROGSTAD D J,KROGSTAD,DONALD J,Tulane Univ  Hlth Sci Ctr,New Orleans,LA 70118 USA
1721,EDI C V,EDI,CONSTANT V,Univ Liverpool  Liverpool Sch Trop Med  Vector Biol Dept  Liverpool L3 5QA,Merseyside,England
1722,EDI C V,EDI,CONSTANT V,Ctr Suisse Rech Sci Cote Ivoire,Abidjan,Cote Ivoire
1723,DJOGBENOU L,DJOGBENOU,LUC,Univ Liverpool  Liverpool Sch Trop Med  Vector Biol Dept  Liverpool L3 5QA,Merseyside,England
1724,JENKINS A M,JENKINS,ADAM M,,,
1725,JENKINS A M,JENKINS,ADAM M,Boston Coll  Dept Biol,Chestnut Hill,MA 02167 USA
1726,REGNA K,REGNA,KIMBERLY,,,
1727,REGNA K,REGNA,KIMBERLY,Boston Coll  Dept Biol,Chestnut Hill,MA 02167 USA
1728,MUSKAVITCH M A T,MUSKAVITCH,MARC A T,,,
1729,MUSKAVITCH M A T,MUSKAVITCH,MARC A T,Boston Coll  Dept Biol,Chestnut Hill,MA 02167 USA
1730,POUPARDIN R,POUPARDIN,RODOLPHE,Univ Liverpool  Liverpool Sch Trop Med  Vector Biol Dept  Liverpool L3 5QA,Merseyside,England
1731,JONES C M,JONES,CHRISTOPHER M,Univ Liverpool  Liverpool Sch Trop Med  Vector Biol Dept  Liverpool L3 5QA,Merseyside,England
1732,ESSANDOH J,ESSANDOH,JOHN,Univ Liverpool  Liverpool Sch Trop Med  Vector Biol Dept  Liverpool L3 5QA,Merseyside,England
1733,ESSANDOH J,ESSANDOH,JOHN,Univ Cape Coast  Dept Entomol & Wildlife,Cape Coast,Ghana
1734,KETOH G K,KETOH,GUILLAUME K,,,
1735,KETOH G K,KETOH,GUILLAUME K,Univ Lome  Fac Sci  Unite Rech Ecotoxicol URET,Lome,Togo
1736,PAINE M J I,PAINE,MARK J I,Univ Liverpool  Liverpool Sch Trop Med  Vector Biol Dept  Liverpool L3 5QA,Merseyside,England
1737,KOUDOU B G,KOUDOU,BENJAMIN G,,,
1738,KOUDOU B G,KOUDOU,BENJAMIN G,Ctr Suisse Rech Sci Cote Ivoire,Abidjan,Cote Ivoire
1739,KOUDOU B G,KOUDOU,BENJAMIN G,Univ Liverpool  Liverpool Sch Trop Med  Ctr Neglected Trop Dis  Liverpool L3 5QA,Merseyside,England
1740,KOUDOU B G,KOUDOU,BENJAMIN G,Univ Nangui Abrogoua  UFR Sci Nat,Abidjan,Cote Ivoire
1741,DONNELLY M J,DONNELLY,MARTIN J,Univ Liverpool  Liverpool Sch Trop Med  Vector Biol Dept  Liverpool L3 5QA,Merseyside,England
1742,DONNELLY M J,DONNELLY,MARTIN J,Wellcome Trust Sanger Inst  Malaria Programme,Cambridge,England
1743,WEETMAN D,WEETMAN,DAVID,Univ Liverpool  Liverpool Sch Trop Med  Vector Biol Dept  Liverpool L3 5QA,Merseyside,England
1744,AGOSSA F R,AGOSSA,FIACRE R,Minist Sante  Ctr Rech Entomol Cotonou,Cotonou,Benin
1745,AGOSSA F R,AGOSSA,FIACRE R,Univ Abomey Calavi  Fac Sci & Tech,Godomey,Benin
1746,AIKPON R,AIKPON,ROCK,Minist Sante  Ctr Rech Entomol Cotonou,Cotonou,Benin
1747,AIKPON R,AIKPON,ROCK,Univ Abomey Calavi  Fac Sci & Tech,Godomey,Benin
1748,AZONDEKON R,AZONDEKON,ROSERIC,Minist Sante  Ctr Rech Entomol Cotonou,Cotonou,Benin
1749,GOVOETCHAN R,GOVOETCHAN,RENAUD,Minist Sante  Ctr Rech Entomol Cotonou,Cotonou,Benin
1750,GOVOETCHAN R,GOVOETCHAN,RENAUD,Univ Abomey Calavi  Fac Sci & Tech,Godomey,Benin
1751,PADONNOU G G,PADONNOU,GIL GERMAIS,Minist Sante  Ctr Rech Entomol Cotonou,Cotonou,Benin
1752,PADONNOU G G,PADONNOU,GIL GERMAIS,Univ Abomey Calavi  Fac Sci & Tech,Godomey,Benin
1753,OUSSOU O,OUSSOU,OLIVIER,Minist Sante  Ctr Rech Entomol Cotonou,Cotonou,Benin
1754,AKOGBETO M C,AKOGBETO,MARTIN C,Minist Sante  Ctr Rech Entomol Cotonou,Cotonou,Benin
1755,AKOGBETO M C,AKOGBETO,MARTIN C,Univ Abomey Calavi  Fac Sci & Tech,Godomey,Benin
1756,PADONOU G,PADONOU,GERAUD,Inst Rech Dev  UMR216,Paris,France
1757,PADONOU G,PADONOU,GERAUD,Univ Paris 05  Fac Pharm,Paris,France
1758,PADONOU G,PADONOU,GERAUD,Univ Paris 06  Ecole Doctorale 393,F-75252 Paris 05,France
1759,PADONOU G,PADONOU,GERAUD,Ctr Etud & Rech Paludisme Associe Grossesse & Enf,Cotonou,Benin
1760,LE PORT A,LE PORT,AGNES,Inst Rech Dev  UMR216,Paris,France
1761,LE PORT A,LE PORT,AGNES,Univ Paris 05  Fac Pharm,Paris,France
1762,LE PORT A,LE PORT,AGNES,Univ Paris 06  Ecole Doctorale 393,F-75252 Paris 05,France
1763,COTTRELL G,COTTRELL,GILLES,Inst Rech Dev  UMR216,Paris,France
1764,COTTRELL G,COTTRELL,GILLES,Univ Paris 05  Fac Pharm,Paris,France
1765,COTTRELL G,COTTRELL,GILLES,Ctr Etud & Rech Paludisme Associe Grossesse & Enf,Cotonou,Benin
1766,GUERRA J,GUERRA,JOSE,Inst Rech Dev  UMR216,Paris,France
1767,GUERRA J,GUERRA,JOSE,Univ Paris 05  Fac Pharm,Paris,France
1768,CHOUDAT I,CHOUDAT,ISABELLE,Inst Rech Dev  UMR216,Paris,France
1769,CHOUDAT I,CHOUDAT,ISABELLE,Univ Paris 05  Fac Pharm,Paris,France
1770,RACHAS A,RACHAS,ANTOINE,Inst Rech Dev  UMR216,Paris,France
1771,RACHAS A,RACHAS,ANTOINE,Univ Paris 05  Fac Pharm,Paris,France
1772,BOUSCAILLOU J,BOUSCAILLOU,JULIE,Inst Rech Dev  UMR216,Paris,France
1773,BOUSCAILLOU J,BOUSCAILLOU,JULIE,Univ Paris 05  Fac Pharm,Paris,France
1774,MASSOUGBODJI A,MASSOUGBODJI,ACHILLE,Ctr Etud & Rech Paludisme Associe Grossesse & Enf,Cotonou,Benin
1775,MASSOUGBODJI A,MASSOUGBODJI,ACHILLE,Univ Abomey Calavi  Fac Sci Sante,Cotonou,Benin
1776,GARCIA A,GARCIA,ANDRE,Inst Rech Dev  UMR216,Paris,France
1777,GARCIA A,GARCIA,ANDRE,Univ Paris 05  Fac Pharm,Paris,France
1778,MARTINPREVEL Y,MARTINPREVEL,YVES,,,
1779,BOUSSARI O,BOUSSARI,OLAYIDE,Univ Abomey Calavi  Lab Etude & Rech Stat Appl & Modelisat  Int Chair Math Phys & Applicat,Abomey Calavi,Benin
1780,BOUSSARI O,BOUSSARI,OLAYIDE,Univ Lyon,F-69000 Lyon,France
1781,BOUSSARI O,BOUSSARI,OLAYIDE,Univ Lyon 1,F-69100 Villeurbanne,France
1782,BOUSSARI O,BOUSSARI,OLAYIDE,CNRS  Lab Biometrie & Biol Evolut  UMR5558,F-69100 Villeurbanne,France
1783,BOUSSARI O,BOUSSARI,OLAYIDE,Hosp Civils Lyon  Serv Biostat,F-69003 Lyon,France
1784,SUBTIL F,SUBTIL,FABIEN,,,
1785,SUBTIL F,SUBTIL,FABIEN,Univ Lyon,F-69000 Lyon,France
1786,SUBTIL F,SUBTIL,FABIEN,Univ Lyon 1,F-69100 Villeurbanne,France
1787,SUBTIL F,SUBTIL,FABIEN,CNRS  Lab Biometrie & Biol Evolut  UMR5558,F-69100 Villeurbanne,France
1788,SUBTIL F,SUBTIL,FABIEN,Hosp Civils Lyon  Serv Biostat,F-69003 Lyon,France
1789,MOIROUX N,MOIROUX,NICOLAS,IRD 224 CNRS 5290 UM1 UM2  MIVEGEC  Inst Rech Dev,Cotonou,Benin
1790,MOIROUX N,MOIROUX,NICOLAS,IRD 224 CNRS 5290 UM1 UM2  MIVEGEC  Inst Rech Dev,Montpellier,France
1791,DJENONTIN A,DJENONTIN,ARMEL,IRD 224 CNRS 5290 UM1 UM2  MIVEGEC  Inst Rech Dev,Cotonou,Benin
1792,DJENONTIN A,DJENONTIN,ARMEL,Ctr Rech Entomol Cotonou  Minist Sante,Cotonou,Benin
1793,IWAZ J,IWAZ,JEAN,Univ Lyon,F-69000 Lyon,France
1794,IWAZ J,IWAZ,JEAN,Univ Lyon 1,F-69100 Villeurbanne,France
1795,IWAZ J,IWAZ,JEAN,CNRS  Lab Biometrie & Biol Evolut  UMR5558,F-69100 Villeurbanne,France
1796,IWAZ J,IWAZ,JEAN,Hosp Civils Lyon  Serv Biostat,F-69003 Lyon,France
1797,CORBEL V,CORBEL,VINCENT,IRD 224 CNRS 5290 UM1 UM2  MIVEGEC  Inst Rech Dev,Cotonou,Benin
1798,CORBEL V,CORBEL,VINCENT,Ctr Rech Entomol Cotonou  Minist Sante,Cotonou,Benin
1799,FONTON N,FONTON,NOEL,Univ Abomey Calavi  Lab Etude & Rech Stat Appl & Modelisat  Int Chair Math Phys & Applicat,Abomey Calavi,Benin
1800,ECOCHARD R,ECOCHARD,RENE,Univ Lyon,F-69000 Lyon,France
1801,ECOCHARD R,ECOCHARD,RENE,Univ Lyon 1,F-69100 Villeurbanne,France
1802,ECOCHARD R,ECOCHARD,RENE,CNRS  Lab Biometrie & Biol Evolut  UMR5558,F-69100 Villeurbanne,France
1803,ECOCHARD R,ECOCHARD,RENE,Hosp Civils Lyon  Serv Biostat,F-69003 Lyon,France
1804,DJOGBENOU L S,DJOGBENOU,LUC S,Inst Reg Sante Publ IIRD,Cotonou,Benin
1805,LABBE P,LABBE,PIERRICK,Univ Montpellier 2  CNRS  ISEM,Montpellier,France
1806,CHANDRE F,CHANDRE,FABRICE,LIN Inst Rech Dev,Montpellier,France
1807,PASTEUR N,PASTEUR,NICOLE,,,
1808,PASTEUR N,PASTEUR,NICOLE,Univ Montpellier 2  CNRS  ISEM,Montpellier,France
1809,WEILL M,WEILL,MYLENE,,,
1810,WEILL M,WEILL,MYLENE,Univ Montpellier 2  CNRS  ISEM,Montpellier,France
1811,BASSAT Q,BASSAT,QUIQUE,Univ Barcelona,Barcelona,Spain
1812,MENENDEZ C,MENENDEZ,CLARA,Univ Barcelona,Barcelona,Spain
1813,MACHEVO S,MACHEVO,SONIA,Manhica Hlth Res Ctr,Maputo,Mozambique
1814,UBBEN D,UBBEN,DAVID,Med Malaria Venture,Geneva,Switzerland
1815,SAGARA I,SAGARA,I,Univ Bamako  Malaria Res & Training Ctr,Bamako,Mali
1816,ABDULLA S,ABDULLA,S,,,
1817,ABDULLA S,ABDULLA,S,Ifakara Hlth Res & Dev Ctr,Dar Es Salaam,Tanzania
1818,BASSAT Q,BASSAT,Q,,,
1819,BASSAT Q,BASSAT,Q,Manhica Hlth Res Ctr,Maputo,Mozambique
1820,HAMEL M,HAMEL,M,,,
1821,HAMEL M,HAMEL,M,Kenya Govt Med Res Ctr  Malaria Branch  Ctr Dis Control & Prevent,Kisumu,Kenya
1822,NAHUM A,NAHUM,A,,,
1823,NAHUM A,NAHUM,A,Ctr Rech Entomol Cotonou,Cotonou,Benin
1824,OGUTU B,OGUTU,B,,,
1825,OGUTU B,OGUTU,B,Kenya Govt Med Res Ctr  Walter Reed Project,Kisumu,Kenya
1826,ANDRIANO K,ANDRIANO,K,,,
1827,ANDRIANO K,ANDRIANO,K,Novartis,E Hanover,NJ USA
1828,COUSIN M,COUSIN,M,,,
1829,COUSIN M,COUSIN,M,Novartis,Basel,Switzerland
1830,DE PALACIOS P I,DE PALACIOS,P IBARRA,,,
1831,DE PALACIOS P I,DE PALACIOS,P IBARRA,Novartis,Basel,Switzerland
1832,GNANGUENON V,GNANGUENON,VIRGILE,Ctr Rech Entomol Cotonou,Cotonou,Benin
1833,AZONDEKON R,AZONDEKON,ROSERIC,Ctr Rech Entomol Cotonou,Cotonou,Benin
1834,SOVI A,SOVI,ARTHUR,Ctr Rech Entomol Cotonou,Cotonou,Benin
1835,SOVI A,SOVI,ARTHUR,Univ Abomey Calavi  Fac Sci & Tech,Abomey Calavi,Benin
1836,OSSE R,OSSE,RAZAKI,Ctr Rech Entomol Cotonou,Cotonou,Benin
1837,OSSE R,OSSE,RAZAKI,Univ Abomey Calavi  Fac Sci & Tech,Abomey Calavi,Benin
1838,PADONOU G,PADONOU,GIL,Ctr Rech Entomol Cotonou,Cotonou,Benin
1839,PADONOU G,PADONOU,GIL,Univ Abomey Calavi  Fac Sci & Tech,Abomey Calavi,Benin
1840,AIKPON R,AIKPON,ROCK,Ctr Rech Entomol Cotonou,Cotonou,Benin
1841,AIKPON R,AIKPON,ROCK,Univ Abomey Calavi  Fac Sci & Tech,Abomey Calavi,Benin
1842,AKOGBETO M C,AKOGBETO,MARTIN C,Ctr Rech Entomol Cotonou,Cotonou,Benin
1843,AKOGBETO M C,AKOGBETO,MARTIN C,Univ Abomey Calavi  Fac Sci & Tech,Abomey Calavi,Benin
1844,PADONOU G G,PADONOU,GIL GERMAIN,Ctr Rech Entomol Cotonou,Cotonou,Benin
1845,BANKOLE H S,BANKOLE,HONORE SOUROU,,,
1846,GAZARD D K,GAZARD,DOROTHEE KINDE,,,
1847,GBEDJISSI G L,GBEDJISSI,GHELUS LOUIS,,,
1848,ATCHADE P S,ATCHADE,PASCAL S,Univ Strasbourg  Inst Parasitol & Pathol Trop IPPTS Fed Med Transl,Strasbourg,France
1849,CHABI N,CHABI,NICODEME,,,
1850,CHABI N,CHABI,NICODEME,Univ Abomey Calavi  Lab Biochim & Biol Mol,Cotonou,Benin
1851,PERROTEY S,PERROTEY,SYLVIE,Univ Strasbourg  Inst Parasitol & Pathol Trop IPPTS Fed Med Transl,Strasbourg,France
1852,ABDELRAHMAN T,ABDELRAHMAN,TAMER,,,
1853,ABDELRAHMAN T,ABDELRAHMAN,TAMER,Publ Hlth Wales NHS Trust  Cardiff,S Glam,Wales
1854,CANDOLFI E,CANDOLFI,ERMANNO,Univ Strasbourg  Inst Parasitol & Pathol Trop IPPTS Fed Med Transl,Strasbourg,France
1855,OSSE R A,OSSE,R A,Agr Univ Ketou  CREC,Cotonou,Benin
1856,AKOGBETO M,AKOGBETO,M,Univ Abomey Calavi  CREC,Cotonou,Benin
1857,GLELEKAKAI C,GLELEKAKAI,C,,,
1858,GARBARZ M,GARBARZ,M,,,
1859,LECOMTE M C,LECOMTE,MC,,,
1860,LEBORGNE S,LEBORGNE,S,,,
1861,GALAND C,GALAND,C,,,
1862,BOURNIER O,BOURNIER,O,,,
1863,DEVAUX I,DEVAUX,I,,,
1864,GAUTERO H,GAUTERO,H,,,
1865,ZOHOUN I,ZOHOUN,I,,,
1866,GALLAGHER P G,GALLAGHER,PG,,,
1867,FORGET B G,FORGET,BG,,,
1868,DHERMY D,DHERMY,D,,,
1869,ALOUT H,ALOUT,HAOUES,UM1 UM2 CNRS 5290 IRD 224  Inst Rech Dev,Montpellier,France
1870,ALOUT H,ALOUT,HAOUES,Inst Rech Sci Sante,Bobo Dioulasso 01,Burkina Faso
1871,NDAM N T,NDAM,NICAISE TUIKUE,Univ Paris 05  IRD  UMR 216,Paris,France
1872,SANDEU M M,SANDEU,MARCEL MAURICE,,,
1873,SANDEU M M,SANDEU,MARCEL MAURICE,Univ Paris 05  IRD  UMR 216,Paris,France
1874,SANDEU M M,SANDEU,MARCEL MAURICE,Ctr Rech Entomol Cotonou,Cotonou,Benin
1875,DJEGBE I,DJEGBE,INNOCENT,Ctr Rech Entomol Cotonou,Cotonou,Benin
1876,CHANDRE F,CHANDRE,FABRICE,UM1 UM2 CNRS 5290 IRD 224  Inst Rech Dev,Montpellier,France
1877,DABIRE R K,DABIRE,ROCH KOUNBOBR,Inst Rech Sci Sante,Bobo Dioulasso 01,Burkina Faso
1878,DJOGBENOU L S,DJOGBENOU,LUC SALAKO,Univ Abomey Calavi  Inst Reg Sante Publ,Cotonou,Benin
1879,CORBEL V,CORBEL,VINCENT,UM1 UM2 CNRS 5290 IRD 224  Inst Rech Dev,Montpellier,France
1880,CORBEL V,CORBEL,VINCENT,Kasetsart Univ  Fac Agr  Dept Entomol,Bangkok,Thailand
1881,COHUET A,COHUET,ANNA,UM1 UM2 CNRS 5290 IRD 224  Inst Rech Dev,Montpellier,France
1882,COHUET A,COHUET,ANNA,Inst Rech Sci Sante,Bobo Dioulasso 01,Burkina Faso
1883,MISSIHOUN T,MISSIHOUN,T,,,
1884,ADJOBIMEY T,ADJOBIMEY,T,,,
1885,EDAYE I,EDAYE,I,,,
1886,ABLEY S,ABLEY,S,,,
1887,GBOTOSHO G,GBOTOSHO,G,,,
1888,HAPPI C,HAPPI,C,,,
1889,ODUOLA A,ODUOLA,A,,,
1890,SANNI A,SANNI,A,,,
1891,ERHART A,ERHART,ANNETTE,,,
1892,ERHART A,ERHART,ANNETTE,Inst Trop Med Prince Leopold,B-2000 Antwerp,Belgium
1893,AHOUNOU D,AHOUNOU,DANIEL,Ctr Rech Entomol Cotonou,Cotonou,Benin
1894,BONOU D,BONOU,DESIRE,Ctr Rech Entomol Cotonou,Cotonou,Benin
1895,VAN OVERMEIR C,VAN OVERMEIR,CHANTAL,Ctr Rech Entomol Cotonou,Cotonou,Benin
1896,VAN OVERMEIR C,VAN OVERMEIR,CHANTAL,Inst Trop Med Prince Leopold,B-2000 Antwerp,Belgium
1897,MENTEN J,MENTEN,JORIS,,,
1898,MENTEN J,MENTEN,JORIS,Inst Trop Med Prince Leopold,B-2000 Antwerp,Belgium
1899,COOSEMANS M,COOSEMANS,MARC,,,
1900,COOSEMANS M,COOSEMANS,MARC,Inst Trop Med Prince Leopold,B-2000 Antwerp,Belgium
1901,MASSOUGBODJI A,MASSOUGBODJI,ACHILLE,Univ Natl Benin  Fac Sci Sante  Parasitol Lab,Cotonou,Benin
1902,MAKOUTODE P,MAKOUTODE,PATRICK,,,
1903,ABIOU G,ABIOU,GRACE,,,
1904,ABIOU G,ABIOU,GRACE,Fac Hlth Sci  Dept Parasitol,Cotonou,Benin
1905,BEHETON T,BEHETON,TODOEGNON,IRD  UMR 216,Paris,France
1906,HOUZE P,HOUZE,PASCAL,,,
1907,HOUZE P,HOUZE,PASCAL,Hop St Louis  Biochem Lab,Paris,France
1908,OUENDO E,OUENDO,EDGARD,,,
1909,HOUZE S,HOUZE,SANDRINE,,,
1910,HOUZE S,HOUZE,SANDRINE,Univ Paris 05,Paris,France
1911,HOUZE S,HOUZE,SANDRINE,AP HP Bichat C Bernard Hosp  Parasitol Lab,Paris,France
1912,DELORON P,DELORON,PHILIPPE,IRD  UMR 216,Paris,France
1913,COT M,COT,MICHEL,IRD  UMR 216,Paris,France
1914,KPOVIESSI S,KPOVIESSI,SALOME,UAC  Fac Sci & Tech FAST  Lab Phys & Synth Organ Chem LaCOPS,Cotonou,Benin
1915,KPOVIESSI S,KPOVIESSI,SALOME,Catholic Univ Louvain  Louvain Drug Res Inst  Pharmacognosy Res Grp,B-1200 Brussels,Belgium
1916,KPOVIESSI S,KPOVIESSI,SALOME,UAC  Fac Hlth Sci FSS  Fac Sci & Tech FAST  Lab Pharmacognosy & Essential Oils LAPHE,Cotonou,Benin
1917,BERO J,BERO,JOANNE,,,
1918,BERO J,BERO,JOANNE,Catholic Univ Louvain  Louvain Drug Res Inst  Pharmacognosy Res Grp,B-1200 Brussels,Belgium
1919,AGBANI P,AGBANI,PIERRE,,,
1920,AGBANI P,AGBANI,PIERRE,UAC  Fac Agron Sci FSA  Lab Appl Ecol LEA,Cotonou,Benin
1921,GBAGUIDI F,GBAGUIDI,FERNAND,UAC  Fac Sci & Tech FAST  Lab Phys & Synth Organ Chem LaCOPS,Cotonou,Benin
1922,GBAGUIDI F,GBAGUIDI,FERNAND,UAC  Fac Hlth Sci FSS  Fac Sci & Tech FAST  Lab Pharmacognosy & Essential Oils LAPHE,Cotonou,Benin
1923,KPADONOUKPOVIESSI B,KPADONOUKPOVIESSI,BENEDICTA,,,
1924,SINSIN B,SINSIN,BRICE,,,
1925,ACCROMBESSI G,ACCROMBESSI,GEORGES,UAC  Fac Sci & Tech FAST  Lab Phys & Synth Organ Chem LaCOPS,Cotonou,Benin
1926,FREDERICH M,FREDERICH,MICHEL,Univ Liege  Drug Res Ctr  Lab Pharmacognosie,B-4000 Liege,Belgium
1927,MOUDACHIROU M,MOUDACHIROU,MANSOUROU,UAC  Fac Hlth Sci FSS  Fac Sci & Tech FAST  Lab Pharmacognosy & Essential Oils LAPHE,Cotonou,Benin
1928,GONZALEZ R,GONZALEZ,RAQUEL,Hosp Clin Univ Barcelona  Barcelona Inst Global Hlth  Barcelona Ctr Int Hlth Res  ISGlobal CRESIB,Barcelona,Spain
1929,GONZALEZ R,GONZALEZ,RAQUEL,Manh Hlth Res Ctr CISM,Manhica,Mozambique
1930,MOMBONGOMA G,MOMBONGOMA,GHYSLAIN,,,
1931,OUEDRAOGO S,OUEDRAOGO,SMAILA,Univ Abomey Calavi  Fac Sci Sante FSS,Cotonou,Benin
1932,OUEDRAOGO S,OUEDRAOGO,SMAILA,Inst Rech Dev IRD,Paris,France
1933,KAKOLWA M A,KAKOLWA,MWAKA A,,,
1934,KAKOLWA M A,KAKOLWA,MWAKA A,Ifakara Hlth Inst IHI,Dodoma,Tanzania
1935,ABDULLA S,ABDULLA,SALIM,Ifakara Hlth Inst IHI,Dodoma,Tanzania
1936,ACCROMBESSI M,ACCROMBESSI,MANFRED,,,
1937,ACCROMBESSI M,ACCROMBESSI,MANFRED,Univ Abomey Calavi  Fac Sci Sante FSS,Cotonou,Benin
1938,ACCROMBESSI M,ACCROMBESSI,MANFRED,Inst Rech Dev IRD,Paris,France
1939,APONTE J J,APONTE,JOHN J,Hosp Clin Univ Barcelona  Barcelona Inst Global Hlth  Barcelona Ctr Int Hlth Res  ISGlobal CRESIB,Barcelona,Spain
1940,APONTE J J,APONTE,JOHN J,Manh Hlth Res Ctr CISM,Manhica,Mozambique
1941,AKEREYDIOP D,AKEREYDIOP,DAISY,,,
1942,BASRA A,BASRA,ARTI,,,
1943,BASRA A,BASRA,ARTI,Albert Schweitzer Hosp  Ctr Rech Med Lambarene CERMEL,Lambarene,Gabon
1944,BASRA A,BASRA,ARTI,Univ Tubingen  Inst Trop Med,Tubingen,Germany
1945,BRIAND V,BRIAND,VALERIE,Inst Rech Dev IRD,Paris,France
1946,BRIAND V,BRIAND,VALERIE,Univ Paris 05,Paris,France
1947,CAPAN M,CAPAN,MESKURE,,,
