Id,init_name,last_name,first_name,affiliation,city,country
355,ROCHA L E C,ROCHA,L E C,,,
356,ROCHA L E C,ROCHA,L E C,Univ Zaragoza  Dept Theoret Phys  Fac Sci,Zaragoza,Spain
357,ROCHA L E C,ROCHA,L E C,Karolinska Inst,Stockholm,Sweden
358,ROCHA L E C,ROCHA,L E C,Univ Namur,Namur,Belgium
359,TAKLE J,TAKLE,J,,,
360,TAKLE J,TAKLE,J,Global Connect LLC,Somerville,USA
361,TREBUCQ A,TREBUCQ,A,Int Union TB & Lung Dis,Paris,France
362,CRESWELL J,CRESWELL,J,,,
363,CRESWELL J,CRESWELL,J,Stop TB Partnership,Geneva,Switzerland
364,BOEHME C,BOEHME,C,,,
365,BOEHME C,BOEHME,C,Fdn Innovat New Diagnost,Geneva,Switzerland
366,BOULAHBAL F,BOULAHBAL,F,,,
367,JAQUET A,JAQUET,A,Univ Victor Segalen  INSERM  Inst Sante Publ Epidemiol & Dev  CRE U 897,Bordeaux,France
368,EKOUEVI D K,EKOUEVI,D K,Univ Victor Segalen  INSERM  Inst Sante Publ Epidemiol & Dev  CRE U 897,Bordeaux,France
369,EKOUEVI D K,EKOUEVI,D K,CHU Treichville  Programme PAC CI,Abidjan,Cote Ivoire
370,ABOUBAKRINE M,ABOUBAKRINE,M,,,
371,ABOUBAKRINE M,ABOUBAKRINE,M,Hop Gabriel Toure  Serv Hepatogastroenterol,Bamako,Mali
372,BASHI J,BASHI,J,,,
373,BASHI J,BASHI,J,Ctr Hosp Natl Univ  Ctr Prise Charge Personnes Vivant Avec VIH,Cotonou,Benin
374,MESSOU E,MESSOU,E,,,
375,MESSOU E,MESSOU,E,ACONDA Ctr Prise Charge Rech & Format,Abidjan,Cote Ivoire
376,MAIGA M,MAIGA,M,,,
377,MAIGA M,MAIGA,M,Hop Gabriel Toure  Serv Hepatogastroenterol,Bamako,Mali
378,TRAORE H A,TRAORE,H A,,,
379,TRAORE H A,TRAORE,H A,Hop du Point G  Ctr Prise Charge Personnes Vivant Avec VIH,Bamako,Mali
380,ZANNOU M,ZANNOU,M,,,
381,ZANNOU M,ZANNOU,M,Ctr Hosp Natl Univ  Ctr Prise Charge Personnes Vivant Avec VIH,Cotonou,Benin
382,GUEHI C,GUEHI,C,,,
383,GUEHI C,GUEHI,C,Unite Soins Ambulatoires & Conseil,Abidjan,Cote Ivoire
384,BAGOMIS F O,BAGOMIS,F O,,,
385,MINGA A,MINGA,A,,,
386,MINGA A,MINGA,A,Ctr Natl Transfus Sanguine  Ctr Med Suivi Donneurs Sang  PRIMO CI,Abidjan,Cote Ivoire
387,ALLOU G,ALLOU,G,,,
388,ALLOU G,ALLOU,G,CHU Treichville  Programme PAC CI,Abidjan,Cote Ivoire
389,EHOLIE S P,EHOLIE,S P,,,
390,EHOLIE S P,EHOLIE,S P,Hop Treichville  Serv Malad Infect & Trop,Abidjan,Cote Ivoire
391,DABIS F,DABIS,F,Univ Victor Segalen  INSERM  Inst Sante Publ Epidemiol & Dev  CRE U 897,Bordeaux,France
392,BISSAGNENE E,BISSAGNENE,E,,,
393,BISSAGNENE E,BISSAGNENE,E,Hop Treichville  Serv Malad Infect & Trop,Abidjan,Cote Ivoire
394,SASCO A J,SASCO,A J,Univ Victor Segalen  INSERM  Inst Sante Publ Epidemiol & Dev  CRE U 897,Bordeaux,France
395,MARTIN A,MARTIN,ANANDI,Univ Ghent  Dept Biochem & Microbiol  Microbiol Lab,Ghent,Belgium
396,IMPERIALE B,IMPERIALE,BELEN,,,
397,IMPERIALE B,IMPERIALE,BELEN,Hosp Dr Antonio Cetrangolo  Lab Referencia Programa Control TB  Buenos Aires,DF,Argentina
398,RAVOLONANDRIANA P,RAVOLONANDRIANA,PASCALINE,,,
399,RAVOLONANDRIANA P,RAVOLONANDRIANA,PASCALINE,Inst Pasteur Madagascar,Antananarivo,Madagascar
400,COBAN A Y,COBAN,AHMET YILMAZ,,,
401,COBAN A Y,COBAN,AHMET YILMAZ,Ondokuz Mayis Univ  Sch Med  Dept Med Microbiol,Samsun,Turkey
402,AKGUNES A,AKGUNES,ALPER,,,
403,AKGUNES A,AKGUNES,ALPER,Chest Dis Hosp  Clin Microbiol Lab,Samsun,Turkey
404,IKRAM A,IKRAM,AAMER,,,
405,IKRAM A,IKRAM,AAMER,Combined Mil Hosp  Dept Pathol,Dera Ismail Khan,Pakistan
406,SATTI L,SATTI,LUQMAN,,,
407,SATTI L,SATTI,LUQMAN,Combined Mil Hosp  Dept Pathol,Dera Ismail Khan,Pakistan
408,PANDEY P,PANDEY,POOJA,,,
409,PANDEY P,PANDEY,POOJA,All India Inst Med Sci  Dept Microbiol,New Delhi,India
410,MISHRA M,MISHRA,MANVI,,,
411,MISHRA M,MISHRA,MANVI,All India Inst Med Sci  Dept Microbiol,New Delhi,India
412,SINGH U,SINGH,URVASHI,,,
413,SINGH U,SINGH,URVASHI,All India Inst Med Sci  Dept Microbiol,New Delhi,India
414,RASOLOFO V,RASOLOFO,VOAHANGY,,,
415,RASOLOFO V,RASOLOFO,VOAHANGY,Inst Pasteur Madagascar,Antananarivo,Madagascar
416,MORCILLO N,MORCILLO,NORA,,,
417,MORCILLO N,MORCILLO,NORA,Hosp Dr Antonio Cetrangolo  Lab Referencia Programa Control TB  Buenos Aires,DF,Argentina
418,VANDAMME P,VANDAMME,PETER,Univ Ghent  Dept Biochem & Microbiol  Microbiol Lab,Ghent,Belgium
419,PALOMINO J C,PALOMINO,JUAN CARLOS,Univ Ghent  Dept Biochem & Microbiol  Microbiol Lab,Ghent,Belgium
420,ADJONOU C,ADJONOU,CHRISTINE,Natl TB Programme,Cotonou,Benin
421,AZON S,AZON,SOPHIE,Natl TB Programme,Cotonou,Benin
422,ROBERT J,ROBERT,JEROME,Univ Paris 06  Hop La Pitie Salpetriere  Equipe Accueil 1541 Lab Bacteriol Hyg Hosp  AP HP Ctr Natl Reference Mycobacteries & Resista,Paris,France
423,AFFOLABI D,AFFOLABI,DISSOU,Programme Natl TB,Cotonou,Benin
424,AWOKOU F,AWOKOU,FANTCHE,,,
425,AWOKOU F,AWOKOU,FANTCHE,Minist Sante Togo  Natl TB Control Programme,Lome,Togo
426,NOLNA D,NOLNA,DESIRE,,,
427,NOLNA D,NOLNA,DESIRE,Natl TB Control Programme,Yaounde,Cameroon
428,MANOUAN B A P,MANOUAN,BILE ADOU PHILIPPE,,,
429,MANOUAN B A P,MANOUAN,BILE ADOU PHILIPPE,Programme Natl Lutte TB,Abidjan,Cote Ivoire
430,ACHO Y B,ACHO,YAPO BLAISE,,,
431,ACHO Y B,ACHO,YAPO BLAISE,Ctr Hosp Univ Cocody,Abidjan,Cote Ivoire
432,ACHO Y B,ACHO,YAPO BLAISE,Direct Gen Hyg Publ,Abidjan,Cote Ivoire
433,GNINAFON M,GNINAFON,MARTIN,Programme Natl TB,Cotonou,Benin
434,LAOKRI S,LAOKRI,SAMIA,Univ Libre Brussels  Sch Publ Hlth  Res Ctr Hlth Policy & Syst Int Hlth,Brussels,Belgium
435,AMOUSSOUHUI A,AMOUSSOUHUI,ARNAUD,,,
436,AMOUSSOUHUI A,AMOUSSOUHUI,ARNAUD,Inst Reg Sante Publ  Unite Rech,Ouidah,Benin
437,OUENDO E M,OUENDO,EDGARD M,,,
438,OUENDO E M,OUENDO,EDGARD M,Inst Reg Sante Publ  Unite Rech,Ouidah,Benin
439,HOUNNANKAN A C,HOUNNANKAN,ATHANASE COSSI,,,
440,HOUNNANKAN A C,HOUNNANKAN,ATHANASE COSSI,Inst Reg Sante Publ  Unite Rech,Ouidah,Benin
441,TAWO L,TAWO,LEON,,,
442,TAWO L,TAWO,LEON,Programme Natl TB,Cotonou,Benin
443,DUJARDIN B,DUJARDIN,BRUNO,Univ Libre Brussels  Sch Publ Hlth  Res Ctr Hlth Policy & Syst Int Hlth,Brussels,Belgium
